index,Unnamed: 0,platform,title,description,keywords,htext,params,wiki,alltext,jscheck,docscheck,blogscheck,commcheck,category
99,99,scrollrevealjs.org,scrollreveal, , ,Easy scroll animations for web and mobile browsers.  ScrollReveal ,/,,  easy scroll web animations browsers mobile scrollreveal,1,0,0,0,PACKAGE
100,100,sailsjs.org,Sails.js | Realtime MVC Framework for Node.js,"'Sails.js makes it easy to build custom, enterprise-grade Node.js apps. It is designed to resemble the MVC architecture from frameworks like Ruby on Rails, but with support for the more modern, data-oriented style of web app development. It''s especially good for building realtime features like chat.'", ,"For a better experience on sailsjs.com, update your browser. The web framework of your dreams. Sails makes it easy to build custom, enterprise-grade Node.js apps. ",/documentation/reference/response-res/res-json,,  experience realtime com sailsjs ruby response features rails build easy node makes like style apps framework data building js res reference json especially resemble sails architecture dreams grade documentation chat mvc frameworks modern enterprise oriented browser web development better update good custom app support designed,1,0,0,0,PACKAGE
102,102,netdna.bootstrapcdn.com, , , , ,"/twitter-bootstrap/2.3.2/css/bootstrap-combined.no-icons.min.css,/font-awesome/4.0.3/css/font-awesome.css,/bootstrap/3.1.1/css/bootstrap.css,/font-awesome/3.2.1/css/font-awesome.css,/font-awesome/3.0.2/css/font-awesome.css",,  font awesome icons min combined bootstrap css twitter,0,0,0,0,PACKAGE
103,103,goings.me, , , , ,/css/styles.css,,  css styles,0,0,0,0,PACKAGE
105,105,fontawesome.io,"font awesome, the iconic font and css toolkit","font awesome, the iconic font and css framework", ,The iconic font and CSS toolkit Font Awesome Thanks To ,",/icon/youtube/,/icon/search/,/examples/,/icon/github/,/icon/align-left/,/icon/twitter/,/get-started/,/,/cheatsheet/,/icon/bookmark/,/icons/,/icon/quote-left/,/icon/free-code-camp/,/icon/facebook/,/examples,/icon/twitter-square/","Font Awesome is a font and icon toolkit based on CSS and LESS. It was made by Dave Gandy for use with Twitter Bootstrap, and later was incorporated into the BootstrapCDN. Font Awesome has a 20% market share among those websites which use third-party Font Scripts on their platform, ranking it second place after Google Fonts.",  github iconic toolkit square bookmark thanks framework camp css get free started icons align search left facebook twitter icon font awesome quote code cheatsheet youtube examples,0,0,0,0,PACKAGE
107,107,lostechies.com,LosTechies | Se Habla Code, , ,"React has been around for a few years now and there are quite a few tutorials available. Unfortunately, many are outdated, overly complex, or gloss over configuration for getting started. Tutorials which side-step configuration by using jsfiddle or code generator … Continue reading → Hello, React! – A Beginner’s Setup Tutorial ",/derickbailey/2013/12/04/getting-the-real-client-ip-address-on-a-heroku-hosted-nodejs-app/,,  gloss lostechies available se step hello real using complex many react unfortunately tutorial ip quite tutorials heroku nodejs around started generator derickbailey continue client address reading overly years side jsfiddle getting beginner outdated code habla configuration setup hosted app,0,0,0,0,NEWS
108,108,www.justinmccandless.com,Justin McCandless · Justin McCandless ,"Computer science, engineering, travel","awesome, definitely","Computer science, engineering, travel Justin McCandless ",/post/html5-audio-with-react/,,  audio science post awesome react engineering computer mccandless definitely html5 justin travel,0,0,0,0,NEWS
109,109,codemyviews.com,your on demand development team - for businesses & agencies,"hire an amazing development team, not a freelancer. teams like airbnb, indeed & ibm trust our on-demand service to deliver on time and on budget. start now!", ,"Stop wrangling code, Code My Views does it for you. A development team for you. How it works ",/blog/how-to-center-anything-with-css,,  stop trust time budget agencies hire like start blog wrangling demand service ibm works amazing center css views indeed airbnb freelancer team development code teams deliver businesses anything,0,0,0,0,NEWS
110,110,medium.com,"medium – read, write and share stories that matter","welcome to medium, a place to read, write, and interact with the stories that matter most to you. every day, thousands of voices read, write, and share important stories on medium.", , ,"/@dave_lunny/animating-css-gradients-using-only-css-d2fd7671e759,/@drboolean/lenses-with-immutable-js-9bda85674780,/@gordon_zhu/how-to-be-great-at-asking-questions-e37be04d0603,/@digvijay.jaiswal18/dom-v-s-jquery-ef35b4e9e084,/apollo-stack/javascript-code-quality-with-free-tools-9a6d80e29f2d,/@esterlinaccime/yes-i-do-work-full-time-and-still-contribute-to-more-than-5-github-projects-257e1945c878,/@singhpratik17/bootstrap-the-essential-parts-ae03b4e38d11,/@matejhlavacka/6-in-6-challenge-week-3-pinterest-like-app-be0ecfeae698,/@dan_abramov/you-might-not-need-redux-be46360cf367,/@patriciolpezjuri/using-create-react-app-with-react-router-express-js-8fa658bf892d,/@yasserhussain1110/fccspeedrun-2-diving-into-elixir-aa407a78c9b3,/@kar_n7/my-journey-to-becoming-a-software-developer-7d222b86e72b,/learning-new-stuff/building-your-first-react-js-app-d53b0c98dc,/@__Masha__/learn-es6-the-dope-way-part-ii-arrow-functions-and-the-this-keyword-381ac7a32881,/dupper/how-to-deploy-clementinejs-to-heroku-in-4-steps-c8f50444381b,/javascript-scene/10-tips-for-better-redux-architecture-69250425af44,/@__Masha__/learn-node-js-with-brigadier-fluffykins-i-basics-async-sync-create-your-first-server-b9e54a45e108,/@franleplant/react-higher-order-components-in-depth-cf9032ee6c3e,/@yasserhussain1110/how-to-deploy-elixir-phoenix-app-to-heroku-edc19ff616e0,/@marhyorh/adding-an-express-server-to-create-react-app-without-ejecting-f05abe1229f9,/learning-new-stuff/building-your-second-react-js-app-eb66924b3774,/@PatrykZabielski/how-to-get-started-with-javascript-cbbe2c292e99,/fusebox/webpack-is-not-the-only-way-6ddb67e99be9,/@rafaelvidaurre/managing-environment-variables-in-node-js-2cb45a55195f,/@thesurbhioberoi/the-equality-project-355fc3193377,/@yasserhussain1110/how-to-deploy-phoenix-app-to-heroku-95d4bef32322,/wdstack/how-the-bootstrap-grid-really-works-471d7a089cfc,/simple-human/buttons-shouldnt-have-a-hand-cursor-b11e99ca374b,/@KDweber89/ajax-vs-getjson-ca910fa6854e,/@erikdkennedy/7-rules-for-creating-gorgeous-ui-part-1-559d4e805cda,/startup-grind/how-to-not-suck-at-design-a-5-minute-guide-for-the-non-designer-291efac43037,/@robinpokorny/index-as-a-key-is-an-anti-pattern-e0349aece318,/@dtothefp/why-can-t-anyone-write-a-simple-webpack-tutorial-d0b075db35ed,/@jshin49/bootstrap-3-tutorial-part-1-build-a-simple-tribute-page-ed2093012b6d,/@digvijay.jaiswal18/hoisting-how-js-interprets-variable-declaration-9b1c1218a6ff,/@Connorelsea/using-sass-with-create-react-app-7125d6913760,/@dabit3/beginner-s-guide-to-webpack-b1f1a3638460,/@engineerwithoutfear/fcc-random-quote-machine-698f0e909323,/javascript-scene/native-apps-are-doomed-ac397148a2c0,/@arnaudrinquin/build-modular-application-with-npm-local-modules-dfc5ff047bcc,/@__Masha__/learn-es6-the-dope-way-i-const-let-var-ae828580472b,/@victorcatalintorac/react-redux-dungeon-crawler-7b52e67806bd,/@thesurbhioberoi/beginners-guide-to-programming-15c06bfc2d72,/@zersiax,/@Rafase282/notes-building-the-fcc-url-shortener-microservice-9c1310434ab7,/@matt.krick/replacing-relay-with-redux-2990c81aa807,/@_cmdv_/i-want-to-learn-javascript-in-2015-e96cd85ad225,/@__Masha__/learn-node-js-with-brigadier-fluffykins-part-iii-request-object-configure-routes-serve-files-7666f783dc10,/@kar_n7/my-journey-to-becoming-a-software-developer,/unexpected-token/10-weeks-of-node-js-after-10-years-of-php-a352042c0c11,/pro-react/a-brief-talk-about-immutability-and-react-s-helpers-70919ab8ae7c,/@__Masha__/learn-es6-the-dope-way-part-iii-template-literals-spread-operators-generators-592765337294,/@__Masha__/learn-node-js-with-brigadier-fluffykins-part-ii-events-eventemitter-the-event-loop-6d4c139694fb,/@vladbezden/using-expect-in-codepen-b3fe80533654,/@andrewchar/this-is-my-story-about-how-i-went-from-being-a-carpenter-with-zero-experience-in-the-tech-world-to-4252e93cb73,/@dan_abramov/smart-and-dumb-components-7ca2f9a7c7d0,/@engineerwithoutfear/fcc-making-a-weather-report-app-74e2070c6f5d,/@popflorin1705/javascript-coding-challenge-6-22a76975baed,/@joyceakiko/how-to-rapidly-progress-when-learning-to-code-80c40d39eae1","Medium is an online publishing platform developed by Twitter co-founder Evan Williams, and launched in August 2012. It is owned by A Medium Corporation. The platform is an example of social journalism, having a hybrid collection of amateur and professional people and publications, or exclusive blogs or publishers on Medium and is regularly regarded as a blog host.",  read went lenses interact apollo scene zero important aa407a78c9b3 ae828580472b animating joyceakiko human grid object request relay write generators questions local page share stuff beginners ca910fa6854e environment ef35b4e9e084 expect dumb dungeon zhu deploy router every immutability elixir code talk engineerwithoutfear programming matejhlavacka c8f50444381b matt thousands part works dabit3 bootstrap place medium dan v javascript better random projects franleplant world anyone time brigadier might architecture started let hand shortener replacing journey gorgeous new redux express events b3fe80533654 grind masha variable declaration modules loop pinterest carpenter ii get krick dfc5ff047bcc yes key basics const modular story day var brief rapidly full design doomed routes managing designer project tribute rafase282 arrow dom quality operators need great cursor esterlinaccime suck fccspeedrun contribute dave challenge phoenix equality still thesurbhioberoi b1f1a3638460 progress quote configure ed2093012b6d components machine abramov matter npm building singhpratik17 developer index interprets learn n7 variables zersiax shouldnt jaiswal18 dtothefp keyword weeks build immutable e96cd85ad225 apps adding drboolean learning event dope yasserhussain1110 creating files patriciolpezjuri non gradients rafaelvidaurre vs parts helpers simple eventemitter native ui react ajax url be46360cf367 startup heroku cmdv fusebox victorcatalintorac functions gordon really webpack kar sass kdweber89 smart using template work like anti d2fd7671e759 guide connorelsea without way e0349aece318 patrykzabielski second cbbe2c292e99 vladbezden stories beginner be0ecfeae698 notes lunny rules hoisting experience fluffykins d0b075db35ed clementinejs e37be04d0603 ejecting diving b9e54a45e108 d53b0c98dc iii popflorin1705 serve getjson cf9032ee6c3e first fcc crawler literals erikdkennedy coding tips sync es6 server stack pattern async digvijay app codepen voices tech welcome ac397148a2c0 report andrewchar jquery application eb66924b3774 wdstack token edc19ff616e0 tools php steps becoming buttons week github a352042c0c11 arnaudrinquin want robinpokorny js f05abe1229f9 free making ae03b4e38d11 years software higher marhyorh weather node b11e99ca374b order jshin49 asking depth tutorial spread css dupper create microservice essential minute pro unexpected,0,0,0,0,NEWS
111,111,sixrevisions.com,web design | webpagefx blog, , ,"Client Revenue Generated Last 12 mo. $297,798,726 How to Fix (and Avoid) Traffic Drops after a Website Redesign First, You Need to Know JavaScript ","/mobile/methods-mobile-websites/,/css/responsive-background-image/,/web-development/10-ways-to-improve-your-web-page-performance/",,  webpagefx avoid methods revenue background websites mo website ways blog traffic drops design redesign generated css improve responsive last fix page client performance web know need development javascript image mobile first,0,0,0,0,NEWS
113,113,javascriptissexy.com,javascript is sexy | learn modern web application development with javascript, , ,"At the end of this article, I outline two comprehensive study guides to help you learn Meteor properly. The study guides are for both beginners and seasoned developers. The first study guide, which uses a book, a paid screencast, and some free online resources, teaches you how to build a sophisticated, modern social-media web application with Meteor. And the second study guide, which uses only free resources (one affordable screencast and free online resources), is just as instructive as the first, though you won’t build a specific web application throughout the course.  Learn Meteor.js Properly ","/understand-javascript-closures-with-ease/,/understand-javascript-closures-with-ease,/understand-javascript-callback-functions-and-use-them/",,  help though end developers two outline article build course uses sexy screencast understand guides specific seasoned guide callback js one use ease application social properly second free online functions paid teaches throughout instructive resources meteor study learn modern web beginners sophisticated media development javascript book closures comprehensive affordable first,0,0,0,0,NEWS
